11: [None, 30, 38, 37, 13, 38, 38, 38, 28, 39, None, None, 39, None, 39, 39, 31, 37, 37, 39, 29, 38, 38, None, None, 37, 38, 38, None, None, 39, 38, 38, None, None, 37, 31, 39, 37, 39, 37, 39, 38, 38, 37, 38, 38, 38, 28, 27, 38, 38, 30, 30, 29, None, 30, 28, 28, 30, 32, 33, 31, 32, None, 32, 32, 32, 32, 31, 32, 35, 34, 34, 33, 34, None, 36, 36, 34, 34, 34, 35, 37, None, 37, None, 37, 38, 38, 36, 38, 36]
12: [None, None, 37, 37, 38, None, None, 34, 33, 39, None, None, 38, 35, 37, 38, None, 37, None, 35, 23, 39, 35, 39, 39, 39, 35, None, 37, 38, 37, 35, None, None, 35, None, 29, 38, 37, 37, 35, 32, 37, None, 37, 38, None, None, None, 32, 33, 35, None, 31, 32, 20, None, None, 33, 31, None, 27, 29, 29, None, None, None, None, None, None, 29, 38, 39, 37, None, None, None, 39, 39, None, 37, None, 37, 37, None, 35, None, None, None, None, 39, 39, None]
13: [None, 31, 37, 34, 39, 35, 37, 33, 32, 38, 39, 38, None, None, 36, 10, 27, 34, 35, 34, 33, 39, 34, 34, 38, 37, 35, 35, 37, None, 37, 34, 35, 29, 36, 36, 26, 37, 36, 36, 33, 35, 36, 35, 34, 37, 35, 35, 31, 30, 32, 35, 29, 30, 4, 33, 30, 33, 32, 30, 27, 27, 27, 28, 29, 29, 29, 29, 29, 28, 29, 39, 38, 34, 29, 36, None, 38, 39, 38, 36, 37, 34, 37, None, 39, None, 38, 37, 38, 37, 38, 38]
14: [None, None, None, None, None, None, None, None, None, None, None, 35, None, None, None, None, None, None, None, None, 34, None, None, None, None, None, None, None, None, 36, None, None, None, None, 34, None, None, None, None, None, None, 38, None, None, None, None, None, None, None, None, None, None, None, None, None, 34, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
15: [None, 31, 36, 36, 39, 37, 37, 32, 32, 38, 39, 37, 36, None, None, 36, 29, 36, 37, 34, 28, 38, 33, 39, None, 38, 34, 37, 37, None, 36, 34, 37, None, 37, 37, 28, 34, 36, 10, 34, 34, 36, 35, 36, 37, None, 37, 33, 31, 31, 34, 31, 30, 30, 33, 31, 33, 32, 29, 28, 26, 15, 28, None, 29, 29, 29, 29, 29, 21, 39, 38, 35, 29, 39, None, 37, 31, 38, 35, 39, 37, 35, None, 39, None, 39, 39, 39, 38, 38, 39]
16: [None, 31, 37, 34, 39, 35, 37, 33, 32, 38, 39, 38, 10, None, 36, None, 27, 34, 35, 34, 33, 39, 34, 34, 38, 37, 35, 35, 37, None, 37, 34, 35, 29, 36, 36, 26, 37, 36, 36, 33, 35, 36, 35, 34, 37, 35, 35, 31, 30, 32, 35, 29, 30, 4, 33, 30, 33, 32, 30, 27, 27, 27, 28, 29, 29, 29, 29, 29, 28, 29, 39, 38, 34, 29, 36, None, 38, 39, 38, 36, 37, 34, 37, None, 39, None, 38, 37, 38, 37, 38, 38]
17: [None, 35, 20, 18, 34, 27, 30, 29, 33, 28, 31, None, 27, None, 29, 27, None, 18, 33, 32, 35, 18, 36, None, None, 5, 22, 21, 39, None, 29, 32, 21, 39, None, 34, 21, 29, 26, 29, 9, 31, 28, 31, 10, 27, 31, 27, 32, 30, 31, 22, 19, 33, 33, None, 35, 33, 33, 35, 26, 39, 36, 35, 39, 38, 38, 38, 38, 31, 38, 37, 34, 35, 39, 35, None, 33, 34, 35, 34, 34, 36, 35, None, 35, None, 34, 29, 31, 32, 31, 33]
18: [None, 27, 32, 10, 38, 27, 34, 28, 21, 36, 37, 37, 34, None, 36, 34, 18, None, 33, 32, 31, 34, 35, 37, None, 16, 30, 32, 39, None, 36, 29, 32, 39, 39, 34, 13, 36, 30, 36, 12, 34, 25, 31, 6, 35, 31, 27, 28, 26, 30, 30, 22, 18, 28, None, 27, 29, 21, 27, 35, 38, 27, 35, 39, 38, 38, 38, 38, 36, 38, 39, 29, 36, 39, 37, None, 37, 38, 37, 35, 36, 37, 38, None, 39, None, 38, 31, 37, 25, 37, 37]
19: [None, 21, 23, 33, 38, 24, 34, 29, 29, 36, 37, None, 35, None, 37, 35, 33, 33, None, 32, 31, 25, 36, None, None, 31, 21, 36, 38, None, 37, 36, 36, 38, None, 32, 33, 37, 28, 37, 27, 35, 32, 25, 29, 35, 29, 24, 28, 20, 31, 21, 26, 27, 29, None, 27, 23, 29, 27, 35, 39, 28, 34, 39, 38, 38, 38, 38, 26, 38, 39, 36, 37, 39, 37, None, 37, 38, 37, 36, 36, 38, 39, None, 39, None, 38, 28, 37, 36, 37, 37]
20: [None, 35, 36, 32, 29, 36, 37, 38, 36, 6, 39, 35, 34, None, 34, 34, 32, 32, 32, None, 36, 34, 32, None, None, 33, 38, 32, 31, None, 34, 32, 32, 32, None, 31, 32, 35, 35, 34, 37, 36, 36, 39, 36, 34, 38, 36, 36, 35, 38, 38, 34, 34, 36, None, 34, 37, 36, 34, 32, 32, 33, 30, 27, 33, 33, 33, 33, 32, 32, 31, 30, 30, 33, 30, None, 28, 28, 31, 30, 30, 31, 28, None, 29, None, 28, 38, 39, 29, 38, 29]
21: [None, 37, 34, 31, 31, 35, 35, 36, 38, 32, 29, 23, 33, 34, 28, 33, 35, 31, 31, 36, None, 32, 30, None, None, 32, 36, 31, 31, 33, 32, 30, 31, None, 30, 31, 35, 27, 34, 28, 36, 23, 34, 37, 35, 32, None, 35, 39, 38, 36, 36, 37, 36, 39, 39, 37, 39, 38, 36, 35, 34, 36, 34, None, 35, 35, 35, 35, 35, 34, 33, 32, 32, 35, 33, None, 30, 30, 33, 32, 33, 33, 30, None, 31, None, 31, 29, 29, 31, 28, 31]
